,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,h_alpha_eqw,nii_6584_eqw
25591,758,52253,221,b'GALAXY',b'STARBURST',0.06406549,753.6778,228.9807,660.1802,60.15618,-113.6404,-9.658669
25592,758,52253,373,b'GALAXY',b'STARFORMING',0.1030547,157.4402,29.94882,18.91878,81.29695,-22.31612,-10.23658
25593,759,52254,613,b'GALAXY',b'STARFORMING',0.1307478,98.9474,24.53273,24.75539,27.8667,-22.11464,-7.05872
25594,760,52264,39,b'GALAXY',b'STARFORMING',0.05985436,437.7081,96.57104,53.45458,159.2987,-22.2805,-8.252291
25595,760,52264,90,b'GALAXY',b'STARFORMING',0.02549963,172.8669,54.95358,39.92851,44.93513,-26.21247,-6.843841
25596,760,52264,184,b'GALAXY',b'STARFORMING',0.06100541,125.5701,27.93841,18.87522,79.55373,-4.341565,-2.72211
25597,760,52264,484,b'GALAXY',b'STARBURST',0.05938328,1275.364,365.2814,664.0266,195.7695,-94.81417,-15.00108
25598,760,52264,523,b'GALAXY',b'AGN',0.05898423,90.08008,25.12915,28.61198,71.55506,-3.596823,-2.977972
25599,761,54524,23,b'GALAXY',b'STARFORMING',0.1344398,173.8063,32.89887,48.8685,103.6072,-12.25216,-7.212564
25600,761,52266,114,b'GALAXY',b'STARFORMING',0.05553065,325.6538,62.92534,24.68518,184.2165,-11.20206,-6.437162
25601,761,54524,381,b'GALAXY',b'STARFORMING',0.04596086,942.0298,208.5412,116.1961,401.5467,-33.65592,-14.16539
25602,761,52266,390,b'GALAXY',b'STARFORMING',0.1031128,225.3204,41.03505,20.45463,74.70888,-29.98962,-9.129722
25603,761,54524,462,b'GALAXY',b'STARFORMING',0.04904504,241.6683,72.29988,51.25142,74.42294,-22.15379,-6.738751
25604,761,52266,499,b'GALAXY',b'STARBURST',0.03607952,1131.523,327.9895,662.7349,191.0995,-61.13363,-10.2798
25605,761,52266,550,b'GALAXY',b'STARBURST',0.1359996,390.4037,40.94963,34.56948,228.0622,-45.64061,-26.31328
25606,761,52266,587,b'GALAXY',b'STARFORMING',0.05599482,113.7799,27.03324,11.28311,71.76492,-7.897686,-4.613916
25607,762,52232,500,b'GALAXY',b'STARFORMING',0.1351107,466.1604,91.53363,25.77328,177.5002,-39.35461,-14.8793
25608,763,52235,172,b'GALAXY',b'STARFORMING',0.1512461,225.4136,30.34733,38.07326,122.9205,-23.09262,-12.41153
25609,763,52235,190,b'GALAXY',b'STARBURST',0.01351608,511.0488,157.6128,433.628,45.674,-76.16251,-6.785438
25610,763,52235,204,b'GALAXY',b'STARFORMING',0.12028,230.7831,39.4528,17.86773,117.5095,-19.62249,-10.23729
25611,440,51912,487,b'GALAXY',b'STARFORMING',0.1189813,158.2488,35.87537,11.55536,48.51943,-25.33078,-9.008446
25612,441,51868,272,b'GALAXY',b'',0.04389579,53.26034,13.2764,14.16719,35.768,-2.18413,-1.634622
25613,442,51882,441,b'GALAXY',b'STARFORMING',0.03801183,102.0124,27.26602,12.69769,33.17451,-15.03547,-5.673005
25614,443,51873,77,b'GALAXY',b'STARBURST',0.05295943,561.7186,153.1138,61.00638,177.1151,-43.44501,-13.84928
25615,443,51873,86,b'GALAXY',b'STARBURST',0.05483358,545.5309,128.6256,240.8292,93.10382,-49.38227,-8.579799
25616,443,51873,304,b'GALAXY',b'STARFORMING',0.07202373,186.2651,40.79392,25.37352,54.5694,-22.5763,-6.283541
25617,444,51883,23,b'GALAXY',b'STARBURST',0.1815487,271.7625,58.61012,21.31652,97.93206,-30.50051,-10.65409
25618,444,51883,322,b'GALAXY',b'AGN',0.09870843,552.3772,136.8379,396.9107,388.1175,-21.70307,-14.63373
25619,445,51873,40,b'GALAXY',b'STARFORMING',0.1236578,223.9064,43.65534,21.43209,112.3439,-17.03454,-8.421348
25620,446,51899,113,b'GALAXY',b'',0.04281509,48.71138,20.72383,26.8014,65.61842,-1.019585,-1.379745
25621,446,51899,221,b'GALAXY',b'STARFORMING',0.03160603,245.4839,48.95932,15.19359,88.11295,-13.69538,-4.717246
25622,446,51899,259,b'GALAXY',b'STARBURST',0.06246741,497.276,138.4358,53.70576,154.0566,-44.70985,-13.82535
25623,446,51899,386,b'GALAXY',b'STARFORMING',0.0320415,323.3075,78.79028,38.39418,155.17,-7.670717,-3.793802
25624,446,51899,390,b'GALAXY',b'STARFORMING',0.03238864,241.6468,59.93262,16.89172,88.17897,-17.04241,-5.901006
25625,446,51899,619,b'GALAXY',b'',0.08070963,81.78592,16.23237,21.13239,84.21482,-3.872316,-3.907408
25626,447,51877,14,b'GALAXY',b'STARFORMING',0.05656931,101.58,21.50433,14.18382,59.22087,-6.642168,-4.196349
25627,447,51877,96,b'GALAXY',b'',0.1192843,84.50115,24.85887,23.69681,69.49093,-5.521695,-4.44426
25628,447,51877,227,b'GALAXY',b'STARFORMING',0.1168333,173.8991,38.68914,22.94278,103.0107,-12.49158,-7.445695
25629,447,51877,517,b'GALAXY',b'STARFORMING',0.04130845,93.49079,24.29077,12.9373,33.66675,-12.45731,-3.798154
25630,448,51900,244,b'GALAXY',b'STARFORMING',0.08036416,286.2713,64.66861,14.56739,102.3667,-22.90313,-8.231758
25631,448,51900,314,b'GALAXY',b'STARBURST',0.1186702,774.6649,167.6171,34.09235,390.3152,-51.06374,-25.70247
25632,448,51900,378,b'GALAXY',b'',0.04091277,56.94841,26.84079,31.21813,53.4222,-1.144563,-1.033203
25633,448,51900,488,b'GALAXY',b'STARFORMING',0.04502112,98.7864,28.45764,28.66722,17.15221,-33.57401,-3.177136
25634,448,51900,554,b'GALAXY',b'STARFORMING',0.1404251,158.7959,33.3537,45.64061,99.31323,-13.00845,-8.108015
25635,449,51900,593,b'GALAXY',b'STARFORMING',0.09403867,563.4279,123.6747,155.6434,323.4262,-26.76363,-15.26984
25636,450,51908,57,b'GALAXY',b'STARFORMING',0.1413734,90.78996,19.60835,10.02218,46.80595,-10.54081,-5.821558
25637,450,51908,139,b'GALAXY',b'STARBURST',0.08064698,269.4473,62.31424,18.58929,102.2689,-38.47241,-14.5577
25638,450,51908,201,b'GALAXY',b'STARFORMING',0.1670191,254.908,55.25961,18.7713,91.91478,-23.49207,-8.405048
25639,450,51908,490,b'GALAXY',b'STARFORMING',0.1097736,84.6074,18.45493,11.84673,41.76136,-5.986243,-2.909626
25640,450,51908,628,b'GALAXY',b'STARFORMING',0.1238097,221.9233,39.82621,12.54226,89.70321,-11.0277,-4.462558
25641,451,51908,21,b'GALAXY',b'',0.08457972,36.23474,11.08577,23.01517,61.60319,-2.454299,-3.835603
25642,451,51908,64,b'GALAXY',b'STARFORMING',0.119328,161.8205,33.33603,16.31515,105.3672,-17.9559,-11.01283
25643,451,51908,594,b'GALAXY',b'AGN',0.09121886,730.04,203.066,1911.422,616.9222,-34.91247,-28.88337
25644,452,51911,303,b'GALAXY',b'STARFORMING',0.04265039,224.8508,66.58277,77.5872,28.85084,-33.65916,-4.58733
25645,452,51911,317,b'GALAXY',b'STARFORMING',0.08460797,62.58663,20.4612,10.94737,12.57071,-25.31708,-4.860857
25646,453,51915,84,b'GALAXY',b'STARBURST',0.08141434,1126.091,282.223,172.5979,321.9653,-74.60735,-20.98941
25647,453,51915,197,b'GALAXY',b'STARFORMING',0.04146267,266.1819,59.00877,15.88423,117.002,-13.7561,-5.90082
25648,453,51915,466,b'GALAXY',b'',0.07449589,15.75504,10.88668,13.46989,16.66446,-1.046736,-1.152958
25649,454,51908,167,b'GALAXY',b'STARFORMING',0.09129672,132.9547,37.30585,18.46847,41.78061,-25.61958,-7.296346
25650,454,51908,324,b'GALAXY',b'STARFORMING',0.08703071,179.887,41.53001,26.30368,93.12653,-6.787613,-3.467072
25651,454,51908,338,b'GALAXY',b'STARBURST',0.2029697,2702.398,713.7396,1881.164,511.7134,-278.8065,-55.01389
25652,454,51908,370,b'GALAXY',b'STARFORMING',0.04880952,342.4019,68.19682,40.82345,166.8347,-14.42757,-7.048256
25653,454,51908,413,b'GALAXY',b'STARFORMING',0.05355321,275.2252,73.9985,18.54422,87.67397,-35.24551,-11.0963
25654,455,51909,47,b'GALAXY',b'STARBURST',0.04462954,9668.336,2969.354,4887.686,2144.424,-183.806,-40.01052
25655,455,51909,206,b'GALAXY',b'STARBURST',0.1923733,236.8622,57.23416,14.30743,89.77877,-41.4595,-23.61014
25656,455,51909,208,b'GALAXY',b'STARBURST',0.1430586,506.9673,119.9975,47.44248,145.2215,-58.86963,-16.77628
25657,455,51909,521,b'GALAXY',b'STARFORMING',0.04139942,518.0443,105.7253,21.44512,204.1078,-18.29818,-7.145896
25658,455,51909,571,b'GALAXY',b'',0.02384608,45.86683,11.443,14.55232,29.54878,-1.319779,-0.972696
25659,456,51910,295,b'GALAXY',b'STARBURST',0.110323,1149.54,225.3135,38.76674,440.8396,-37.20404,-14.57108
25660,456,51910,384,b'GALAXY',b'STARFORMING',0.1714309,270.6944,57.48638,22.17492,121.5089,-31.687,-13.85489
25661,456,51910,427,b'GALAXY',b'STARFORMING',0.02891102,71.17466,18.24229,39.67627,7.217585,-22.27481,-2.98092
25662,456,51910,485,b'GALAXY',b'STARFORMING',0.08403894,68.28014,12.45732,10.89031,33.65794,-6.810257,-3.377195
25663,458,51929,10,b'GALAXY',b'STARFORMING',0.03536526,340.5674,91.10661,187.8682,43.74393,-39.21693,-5.039249
25664,458,51929,205,b'GALAXY',b'STARFORMING',0.04412854,175.0554,50.38961,36.657,45.92307,-23.99757,-6.483305
25665,458,51929,240,b'GALAXY',b'STARBURST',0.08229935,296.4752,88.3955,66.80505,74.39779,-40.62918,-9.735215
25666,458,51929,297,b'GALAXY',b'STARFORMING',0.04401547,116.9734,29.92657,15.17022,36.98051,-14.79534,-4.413355
25667,459,51924,49,b'GALAXY',b'',0.1139453,283.3332,69.52268,124.8275,88.60188,-33.5072,-8.370899
25668,459,51924,173,b'GALAXY',b'STARFORMING',0.0640671,405.9092,96.83783,32.99278,205.2842,-15.32195,-7.826265
25669,459,51924,264,b'GALAXY',b'STARFORMING',0.01271308,255.8705,84.28355,147.0465,24.81337,-30.9168,-2.984489
25670,459,51924,328,b'GALAXY',b'',0.1250677,105.6997,20.59761,99.1322,146.3347,-5.07508,-6.286201
25671,459,51924,476,b'GALAXY',b'STARFORMING',0.106053,92.65997,25.47523,13.33859,41.74395,-5.174481,-2.444206
25672,460,51924,77,b'GALAXY',b'STARBURST',0.01385478,1346.12,364.8129,345.5054,336.7377,-41.91767,-10.47847
25673,460,51924,503,b'GALAXY',b'STARFORMING',0.04130912,233.679,52.69119,12.81183,89.80401,-12.39392,-4.796373
25674,461,51910,17,b'GALAXY',b'STARFORMING',0.03760296,116.2428,24.44367,11.85622,38.97708,-14.76467,-5.441251
25675,461,51910,117,b'GALAXY',b'',0.06610715,38.10988,11.7046,41.56229,19.68004,-3.1323,-1.547244
25676,461,51910,342,b'QSO',b'STARBURST BROADLINE',0.1005365,618.1815,116.2035,217.7823,341.2359,-27.08948,-15.44157
25677,461,51910,354,b'GALAXY',b'STARFORMING',0.04195249,46.52729,19.96917,15.48476,6.353699,-11.50395,-0.9688661
25678,461,51910,363,b'GALAXY',b'STARFORMING',0.03553282,738.9085,164.0769,48.76791,248.3611,-37.47633,-12.6074
25679,461,51910,436,b'GALAXY',b'STARFORMING',0.1383196,285.4702,45.4692,19.62958,142.5901,-18.76233,-9.2321
25680,462,51909,30,b'GALAXY',b'STARFORMING',0.03350421,193.4777,50.63132,16.99647,65.78677,-16.71734,-5.606673
25681,463,51908,586,b'GALAXY',b'STARFORMING',0.119413,295.5526,70.96761,86.86592,139.3338,-20.76924,-9.771604
25682,464,51908,169,b'GALAXY',b'STARFORMING',0.07126043,564.0712,126.6429,62.92509,227.834,-43.71042,-17.48109
25683,464,51908,287,b'GALAXY',b'STARFORMING',0.1224626,358.7772,58.60345,14.60352,159.4808,-35.87927,-15.72266
25684,464,51908,542,b'GALAXY',b'STARBURST',0.03707521,1481.312,360.2119,233.6378,453.3259,-54.27877,-16.81577
25685,763,52235,329,b'GALAXY',b'STARFORMING',0.1254255,311.8047,72.02702,14.26918,99.46744,-30.94598,-9.751287
25686,763,52235,409,b'GALAXY',b'STARFORMING',0.1385573,156.8412,42.66,15.06288,60.2779,-22.33375,-8.56482
25687,764,52238,11,b'GALAXY',b'STARFORMING',0.03939261,99.18403,24.54335,20.60363,26.44057,-14.79771,-4.482199
25688,764,52238,18,b'GALAXY',b'',0.1186447,956.4149,269.1678,616.8964,127.1834,-200.5042,-30.55415
25689,764,52238,190,b'GALAXY',b'STARFORMING',0.09034032,305.8543,65.51437,42.90413,97.39151,-33.25199,-10.27052
25690,764,52238,624,b'GALAXY',b'STARBURST',0.07273977,590.548,126.7815,30.14625,258.03,-51.51151,-22.5161
25691,764,52238,633,b'GALAXY',b'STARBURST',0.1399263,1701.872,417.8535,736.5615,364.9583,-213.3866,-47.27276
25692,765,52254,59,b'GALAXY',b'STARBURST',0.1193086,763.8851,131.392,36.3729,298.5692,-43.84938,-16.88775
25693,765,52254,387,b'GALAXY',b'STARFORMING',0.02757921,204.4008,57.67252,11.90445,67.82697,-19.09998,-6.48233
25694,766,52247,179,b'GALAXY',b'STARFORMING',0.04882706,100.0444,31.83493,37.46391,14.00798,-17.31151,-2.4508
